CEARES,PORTUGUES
EMPAIAR,Atrapalhar;perder tempo
EMPAZINADO,comeu;além
EMPIRIQUITAR,banho;arrumar
EMPRIQUITAR,Cismar;não aceitar
ENCABULADO,Envergonhado;acanhado
ENCANGADO (A),agarrada
ENCARNADO,Vermelho
ENGABELAR,Enganar;iludir
ENGOMAR,Passar roupa
ENRABICHADO,Apaixonado
ENREDAR,Delatar;entregar;caguetar;cabuetar
ENROLÃO,enganar;Vigarista
ENTOCADO,toca;escondido
ENTREGAR A RAPADURA,desistir;renunciar
ENXERIDO,Metido;xereta
ERRADO,Desordeiro;arruaceiro
ESCABEFADO,cansado;esbaforido
ESCAMBAU,tudo;mundo
ESCANCHADO,pernas;arqueadas
ESCOTEIRO,comer;sem acompanhamento
ESCRACHADO,Esculhambado;avariado;imprestável;mal-educado
ESCROTO (A),chata;ruim;inamistosa
ESCULHAMBAÇÃO,Confusão;anarquia;balbúrdia
ESCULHAMBADO,quebrado;estragado
ESFOLADO,Machucado;estropiado;maltrapilho
ESGALAMIDO,come;olhos;barriga
ESPARRO,Reclamação;carão;esbregue
ESPILICUTE,vaidosa;faceira;afetada
ESPRITADO,irritada;brigar;espíritos
ESTRIBADO,dinheiro;rico
ESTRIPULIA,Danação;travessura
ESTROVENGA,esquisita;estranha;não confiável
ESTRUIR,Estragar;destruir
FAJUTO,Ruim;má qualidade;falso
FALAR ÁGUA,bobagem;abobrinha;miolo de pote
FANABÔ,Tênis
FARINHA DO MESMO SACO,caráter;igual
FAROFA,Iguaria;farinha de mandioca
FAZER HORA COM A CARA,gozação
FAZER MAU,Desvirginar
FAZER MERCANTIL,Feira
FAZER SABÃO,Sexo;lésbicas
FECHAR,Desligar
FECHICLER,Zíper
FEIRINHA,barracas;comidas;bebidas;artesanato
FEITO NAS COXAS,mal feita;mal acabada;defeituosa
FELA DA GAITA,fila da puta;fela da puta;filho da puta
FELA DA PUTA,filho da puta
FERRADO,Lascado;sem dinheiro
FICAR NO CANO,deixado;lado
FILA DA PUTA,filho da puta
FILÉ-DE-BORBOLETA,magra
FILHO DE UMA ÉGUA,filho da puta
FILMAR,Observar;curiosamente
FIOFÓ,Ânus;boga;anel;carritel
FIZ QUE IA NÃO FOI E ACABEI FONDO,expressão;jogada
FLOZÔ,atoa;sem fazer nada
FOGOIÓ,cabelo;ruivo
FOI MAL,Perdão
FOLÓ,Frouxo
FOMINHA,Sovina;avaro;avarento;miserável;migalheiro;pica-fumo;muquirana;unha-de-fome;morrinha;seguro;zuraco;pão-duro;tranca;esganado;agarrado;mão-de-vaca;mão-fechada
FORRÓ E FORROBODÓ,ritmo;nordestino
FORTALEZA,capital;Ceará
FRANGOTE,adolescência
FRESCAR,brincadeira
FRIVIÃO,Inquietação;criança
FUAMPA,vadia;meretriz
FULEIRAGEM,sem expressão;gentinha;feia;mal feita
FULEIRO,Ordinário;ruim;irreverente;brincalhão
FULERAGE,Fuleiragem
FULO OU FULO DA VIDA,raiva
FUMANDO NUMA QUENGA,raiva
FUTRICA,Brincadeira;conversa;confusão;intriga
FUTRICAR,Mexer;investigar;confusão
FUXICO,inventar;indispor
GALINHA À CABIDELA,galinha;molho pardo
GARAPA,sumo;cana-de-açúcar;rapadura;água;refresco
GASGUITA,voz;esganiçada
GASTURA,Mal estar
GATO,charmoso;bonito;Rapariga;garota de programa;amante;concubina;gato véi
GATO RÉI,Catiroba
GAZEAR AULAS,Faltar;aulas
GENTE BONITA QUE NEM PRESTA,pessoas;bonitas
GENTINHA,pobre;sem tradição
GIGOLETE,Passadeira;diadema;arco
GILETE,bissexual
GOMA,mandioca;tapiocas
GOROROBA,substância;indefinida;desconhecida;comidas
GOTA SERENA,juramentos
GRELADO,Concentrado
GUABIRU,Rato;gatuno
GUARIBADA,caprichada
GUARIBADO,Carro;velho;arrumadinho
IGNORANTE,grosseiro;malcriado;estúpido
IGUALZINHO,semelhante;Cagado;cuspido
IMBIRA,cipó;rede;calças
INFERNO DA PEDRA,longe
INGEMBRADO,Torto
INHACA,Mau cheiro
INJEITAR,rejeitar
